num_connections perm aperture
1 1.52613848e-11 1.353279785e-05
0 1.554520023e-11 1.365805267e-05
0 1.545927185e-11 1.362025192e-05
0 1.586677691e-11 1.379859859e-05
0 1.582725031e-11 1.378140064e-05
2 1.580633666e-11 1.377229247e-05
0 1.531992543e-11 1.355872801e-05
0 1.511545589e-11 1.346794233e-05
1 1.508453236e-11 1.345415878e-05
0 1.531108473e-11 1.355481526e-05
0 1.493970254e-11 1.338941487e-05
1 1.552076753e-11 1.364731514e-05
0 1.550086537e-11 1.363856241e-05
0 1.486551513e-11 1.335612899e-05
0 1.54513116e-11 1.361674481e-05
0 1.484370352e-11 1.334632692e-05
0 1.480020818e-11 1.332675873e-05
0 1.510318726e-11 1.346247552e-05
0 1.509077651e-11 1.345694312e-05
1 1.506045148e-11 1.344341541e-05
1 1.539584314e-11 1.359228155e-05
0 1.473407161e-11 1.329694925e-05
1 1.496823848e-11 1.340219615e-05
0 1.468944708e-11 1.3276798e-05
0 1.534477233e-11 1.356971879e-05
1 1.48984787e-11 1.337092908e-05
0 1.463088219e-11 1.325030514e-05
1 1.518905271e-11 1.350069008e-05
0 1.487569471e-11 1.33607012e-05
0 1.455118371e-11 1.321416681e-05
0 1.452831278e-11 1.3203778e-05
0 1.509317555e-11 1.345801273e-05
1 1.505456632e-11 1.344078851e-05
0 1.475916775e-11 1.330826859e-05
1 1.44544842e-11 1.317018642e-05
1 1.444422074e-11 1.316550982e-05
2 1.472216234e-11 1.329157432e-05
0 1.490193077e-11 1.337247805e-05
0 1.483824175e-11 1.334387129e-05
1 1.483751287e-11 1.334354355e-05
0 1.482679287e-11 1.333872237e-05
0 1.457091527e-11 1.322312305e-05
0 1.430424266e-11 1.310156143e-05
1 1.430149298e-11 1.310030212e-05
0 1.427554102e-11 1.308841061e-05
1 1.455452308e-11 1.321568299e-05
1 1.454346997e-11 1.321066386e-05
0 1.425392977e-11 1.307849981e-05
0 1.423564333e-11 1.307010788e-05
1 1.422253807e-11 1.306409036e-05
1 1.441327421e-11 1.315139881e-05
0 1.440177924e-11 1.314615346e-05
2 1.440157178e-11 1.314605878e-05
0 1.457334536e-11 1.322422566e-05
0 1.438242109e-11 1.313731529e-05
1 1.409437099e-11 1.30050933e-05
0 1.427943638e-11 1.30901962e-05
1 1.426211913e-11 1.308225629e-05
0 1.417428639e-11 1.304191078e-05
0 1.416002127e-11 1.303534638e-05
0 1.415785945e-11 1.303435129e-05
0 1.434734891e-11 1.312128755e-05
1 1.415067608e-11 1.30310442e-05
0 1.414670757e-11 1.302921682e-05
0 1.40105864e-11 1.296638102e-05
0 1.400474149e-11 1.296367609e-05
0 1.41327522e-11 1.302278873e-05
1 1.427296904e-11 1.308723151e-05
0 1.406363824e-11 1.299090678e-05
0 1.420658053e-11 1.305675941e-05
0 1.420459957e-11 1.305584907e-05
1 1.419014294e-11 1.304920363e-05
1 1.416309036e-11 1.303675896e-05
0 1.395264558e-11 1.293954199e-05
0 1.401186954e-11 1.296697476e-05
0 1.397243723e-11 1.294871603e-05
1 1.396232861e-11 1.294403118e-05
0 1.413902731e-11 1.302567955e-05
0 1.390220553e-11 1.291613202e-05
0 1.413253124e-11 1.302268693e-05
1 1.380289122e-11 1.286991432e-05
0 1.411127491e-11 1.301288972e-05
0 1.408899021e-11 1.30026106e-05
1 1.374566022e-11 1.284320531e-05
1 1.373537484e-11 1.283839936e-05
0 1.406314736e-11 1.299068006e-05
1 1.405901936e-11 1.298877332e-05
0 1.378774245e-11 1.286284997e-05
0 1.372592828e-11 1.283398377e-05
0 1.370461572e-11 1.282401609e-05
0 1.368469564e-11 1.281469265e-05
1 1.402219095e-11 1.297174974e-05
0 1.364736194e-11 1.27972006e-05
2 1.393425025e-11 1.293100936e-05
0 1.39303065e-11 1.292917932e-05
1 1.387610077e-11 1.290399974e-05
0 1.368345595e-11 1.28141122e-05
0 1.367344942e-11 1.280942594e-05
0 1.381174862e-11 1.287404301e-05
0 1.360993659e-11 1.277964159e-05
0 1.378687556e-11 1.28624456e-05
0 1.360211642e-11 1.277596951e-05
0 1.377414594e-11 1.285650619e-05
0 1.375704878e-11 1.284852464e-05
1 1.363523143e-11 1.279151192e-05
0 1.353971381e-11 1.274662958e-05
1 1.361363004e-11 1.278137553e-05
0 1.348553578e-11 1.272110173e-05
1 1.343319664e-11 1.26963916e-05
0 1.353377966e-11 1.2743836e-05
0 1.338756988e-11 1.267481118e-05
0 1.334711011e-11 1.265564385e-05
1 1.353653392e-11 1.274513268e-05
0 1.328514875e-11 1.2626234e-05
0 1.327792162e-11 1.262279919e-05
1 1.326970624e-11 1.261889357e-05
0 1.326203713e-11 1.261524655e-05
1 1.348828958e-11 1.272240052e-05
0 1.321056281e-11 1.259074079e-05
0 1.320957337e-11 1.259026927e-05
0 1.349367998e-11 1.272494243e-05
0 1.343303354e-11 1.269631453e-05
1 1.31675864e-11 1.25702441e-05
0 1.315156042e-11 1.256259229e-05
1 1.341018643e-11 1.268551289e-05
1 1.334621612e-11 1.265522001e-05
1 1.33417475e-11 1.26531012e-05
0 1.332753947e-11 1.264636207e-05
2 1.309475572e-11 1.253543253e-05
0 1.339571426e-11 1.267866598e-05
0 1.335739285e-11 1.266051793e-05
0 1.302849178e-11 1.250367551e-05
0 1.332205364e-11 1.264375908e-05
1 1.295494435e-11 1.246833318e-05
0 1.294176192e-11 1.246198793e-05
0 1.317705129e-11 1.257476105e-05
0 1.326176885e-11 1.261511895e-05
0 1.293589881e-11 1.245916473e-05
0 1.314280866e-11 1.255841168e-05
0 1.314195817e-11 1.255800534e-05
0 1.31448091e-11 1.255936739e-05
0 1.286237054e-11 1.242370502e-05
0 1.285699072e-11 1.242110658e-05
0 1.285191379e-11 1.241865393e-05
0 1.28288983e-11 1.240752915e-05
0 1.303517505e-11 1.250688213e-05
0 1.309114569e-11 1.253370449e-05
0 1.280618819e-11 1.239654219e-05
0 1.308664893e-11 1.253155167e-05
1 1.280487731e-11 1.23959077e-05
1 1.302775124e-11 1.250332015e-05
1 1.305664073e-11 1.251717575e-05
0 1.275673204e-11 1.237258196e-05
0 1.27120514e-11 1.235089538e-05
1 1.302384809e-11 1.2501447e-05
0 1.300590904e-11 1.249283428e-05
0 1.29756387e-11 1.247828772e-05
1 1.266571712e-11 1.232836589e-05
0 1.282541895e-11 1.24058465e-05
0 1.285387595e-11 1.24196019e-05
